1,21521,3.5638
1,25918,2.43153
1,3824,3.40827
1,44429,3.5442
1,44459,3.4249
1,54216,3.18526
100,11757,4.20969
100,20478,4.09278
100,20539,3.85411
100,21822,4.05807
100,34808,3.72911
100,47245,4.05206
100,47541,3.82004
100,47658,4.46278
100,53468,3.74213
100,59966,3.93563
100,60511,3.89071
100,67533,3.94153
100,69383,3.92632
100,69461,4.11898
100,70440,3.17893
100,71188,3.49352
100,71802,4.1129
100,72821,4.46403
100,72822,3.9288
100,72823,3.79269
100,74145,3.36048
100,74360,3.77351
100,76506,3.88545
100,76997,3.89772
1000,11757,4.36894
1000,20470,3.90577
1000,20575,4.0724
1000,21822,4.26718
1000,25656,3.72134
1000,28350,4.04744
1000,47658,4.67479
1000,48911,3.72658
1000,53468,3.89592
1000,54827,4.30126
1001,10784,4.03581
1001,19960,4.23549
1004,21822,4.00494
1004,46088,3.66959
1004,55900,3.77365
1004,69461,4.04887
1006,60511,3.94375
1008,11757,4.12817
1008,20470,3.7181
1008,24905,3.75687
1008,48911,3.53119
1008,52211,3.61889
1011,19960,4.51763
1015,11757,4.24404
1021,25852,3.97486
1022,59966,4.13773
1024,10784,3.95818
1024,19960,4.18037
1024,20817,3.45507
1024,21822,4.06523
1024,25382,3.75851
1024,25852,3.9796
1024,34146,4.02365
1024,36670,3.92577
1024,429,3.80251
1024,48911,3.64969
1024,7348,4.11161
1025,11757,4.36396
1025,16074,4.23882
1025,20478,4.27419
1025,21822,4.22227
1025,50448,3.5678
1025,7348,4.26665
1026,3939,4.02969
1026,9118,3.97145
1028,5441,4.30829
1029,11757,4.22389
1029,21822,4.09373
1029,33644,4.07784
1029,34146,4.05598
1029,7348,4.1282
1029,7463,3.84755
1030,4073,3.94499
1030,5441,4.21551
1033,17538,3.97335
1037,20478,4.28056
1037,20539,4.04796
1037,3824,3.73295
1037,69461,4.3145
1038,25382,3.87398
1040,16074,4.03502
1040,19960,4.22186
1040,25414,3.72381
1040,41084,3.30479
1040,47694,3.66917
1040,4786,4.03591
1040,48911,3.5096
1040,513,3.84179
1040,515,4.06896
1040,54827,4.15954
1040,57110,3.98214
1040,6968,3.50093
1040,727,3.67798
1040,7463,3.73633
1040,798,2.6437
1042,15244,3.79237
1042,16074,4.16057
1042,20478,4.08576
1042,20893,4.05672
1042,2106,4.05069
1042,24905,3.82867
1042,25852,4.06223
1042,34146,4.05582
1042,37518,3.59137
1042,429,3.89485
1042,47695,4.14801
1042,48911,3.64174
1042,4920,3.91164
1042,52211,3.75092
1042,52425,3.77939
1042,54827,4.30649
1042,69461,4.18205
1043,1550,3.9281
1043,34146,4.09447
1044,34146,4.13969
1044,7463,3.89734
1045,7463,4.03403
1048,20478,4.33438
1049,11757,4.19221
1049,4073,3.74827
1049,61799,3.9201
1049,61800,3.93171
105,1123,3.68659
105,11757,4.28186
105,19960,4.27756
105,34146,4.07443
105,35378,3.89936
105,429,3.75078
105,75907,4.03632
1050,11757,4.31202
1050,48911,3.67133
1051,16074,4.19787
1051,17538,3.73155
1051,7348,4.20736
1052,11757,4.44015
1052,34146,4.24165
1052,35036,4.0618
1052,5441,4.21302
1052,60584,4.28287
1054,5441,4.21785
1054,56115,3.98499
1055,10480,3.60344
1055,1791,3.86774
1055,2599,4.33104
1055,3003,3.74689
1055,515,4.24563
1055,5256,3.94407
1055,727,3.90365
1058,19960,4.28941
106,25382,4.19538
106,7348,4.59242
1061,27596,2.66926
1061,73761,3.22697
1062,16074,4.30204
1062,41778,3.62808
1064,21822,4.38526
1064,55900,4.1617
1068,19960,4.18987
1068,47695,4.06279
1068,56115,3.7703
1070,11757,4.07957
1073,17538,3.43574
1073,25852,3.47643
1073,48911,3.40933
1077,40815,3.02117
1079,19960,4.25989
1079,21822,4.1416
1079,5441,4.0631
1079,57110,4.09956
1079,7348,4.19292
108,11757,4.13676
108,47658,4.40109
1080,20478,4.16397
1080,34146,4.13114
1080,35036,3.93843
1080,60511,3.97401
1082,10784,3.93507
1082,11757,4.18546
1082,16074,4.07589
1082,1621,3.8877
1082,19960,4.14845
1082,29687,3.71433
1082,34146,4.01043
1082,38468,3.40305
1082,429,3.72807
1082,54731,3.90632
1082,7348,4.09888
1082,798,2.37047
1083,56071,3.44604
1083,963,3.68338
1085,40176,3.32742
1087,20478,4.35699
1087,3606,4.27714
1087,5537,3.95771
1089,1018,3.63044
1089,1324,3.71575
1089,1622,3.70401
1089,20470,3.65814
1089,21822,3.95206
1089,43312,3.65642
1089,54134,3.43241
1089,5441,3.90068
109,2572,3.80372
109,34146,3.86107
